Range	,Quick Sort	,Merge Sort	,Radix Sort	,Insertion Sort	
10,0.0009,0.0064,0.0006,0.0003
20,0.0012,0.0059,0.0019,0.0008
30,0.0015,0.0073,0.0026,0.0012
40,0.0022,0.0194,0.0023,0.0023
50,0.0031,0.0268,0.0033,0.0028
60,0.0035,0.0189,0.0213,0.0038
70,0.0046,0.0184,0.0037,0.0065
80,0.0046,0.0325,0.0038,0.0055
90,0.0058,0.0347,0.0044,0.0073
100,0.0088,0.0381,0.0057,0.0117
200,0.019,0.0663,0.0096,0.0256
300,0.0186,0.0511,0.0125,0.0526
400,0.0259,0.0737,0.0165,0.0992
500,0.0325,0.1032,0.0223,0.1484
600,0.0392,0.107,0.0248,0.2082
700,0.0466,0.1314,0.0295,0.2636
800,0.0523,0.1544,0.0318,0.3712
900,0.0644,0.1661,0.0355,0.4467
1000,0.0743,0.2059,0.0414,0.5698
2000,0.1754,0.4482,0.1303,2.4326
3000,0.2567,0.6049,0.1558,4.6635
4000,0.3129,0.716,0.1803,8.537
5000,0.4105,0.881,0.236,11.7068
6000,0.5458,1.1947,0.2817,17.4305
7000,0.5718,1.2639,0.3217,23.5597
8000,0.6458,1.5111,0.3944,32.6172
9000,0.7728,1.6926,0.4374,38.5878
10000,0.8129,1.8096,0.4825,48.4978
20000,1.7634,3.7808,1.1722,191.403
30000,2.7498,5.8373,1.7297,418.555
40000,3.7477,7.8206,2.3055,751.837
50000,5.0178,10.1305,2.8299,1180.07
60000,5.964,11.8456,3.4395,1682.55
70000,6.845,14.0531,4.0281,2293.51
80000,8.3296,15.9611,4.5922,3009.74
90000,9.1251,18.1777,5.0932,3793.84
100000,10.2689,20.3733,5.7856,4665.16
Total,18408.3
